;coef
Guinea-Bissau;6.961538461538462
Ethiopia;6.923076923076923
Chad;6.913461538461538
Gambia;6.8173076923076925
North Korea;6.586538461538462
Democratic People's Republic of Korea;6.586538461538462
Uganda;6.211538461538462
Burkina Faso;6.173076923076923
Afghanistan;5.951923076923077
Togo;5.903846153846154
Liberia;5.615384615384615
Madagascar;4.971153846153846
Sierra Leone;4.759615384615385
Democratic Republic of the Congo;4.451923076923077
South Sudan;4.355769230769231
Central African Republic;4.115384615384615
Mozambique;4.096153846153846
Niger;3.6346153846153846
Malawi;3.269230769230769
Burundi;2.7884615384615383
Somalia;1.0
